#{"t_start": 1683583631.405932, "env_id": "gym_examples/GridWorld-v0"}
r,l,t
-16855,63,404.317096
-36820,123,405.382612
-30495,264,407.560911
-615,79,408.248531
-8475,21,408.43183
-955,11,408.524901
-1445,14,408.635417
-6435,26,408.83179
-17915,53,409.239297
-7140,188,410.877867
-40660,453,414.428126
-8500,17,414.559329
-6035,106,415.372089
-7990,18,415.508694
-10895,144,416.790209
-26885,77,417.373023
-6925,29,417.591027
-460,9,417.659582
-21530,138,418.713482
-8440,29,418.933901
-10485,24,419.11565
-11495,125,420.206012
-23480,51,420.638602
-13480,31,420.897843
-9970,26,421.121425
-7500,15,421.24531
-45725,147,422.46026
-500,1,422.468973
-11345,98,423.212229
-500,1,423.222965
-1405,22,423.382665
-9500,19,423.527503
-18080,121,424.450948
-7945,27,424.661241
-1985,7,424.718835
-4990,12,424.803433
-1500,3,424.831105
-17115,112,425.711878
-5385,135,426.759321
-12105,104,427.575613
-400,21,427.727368
-1430,17,427.857003
-12215,82,428.476299
-7375,40,428.775238
-9945,31,429.00869
-20990,145,430.205162
-21040,236,432.100008
-5500,11,432.186581
-4100,89,432.969055
-4205,169,434.306329
-7920,32,434.552166
-37175,140,435.744387
-430,15,435.863321
-8000,16,435.989607
-26290,305,438.344524
-500,1,438.355693
-14055,118,439.257406
-8415,34,439.505751
-18320,319,442.092762
-13295,68,442.617382
-4930,24,442.799333
-6920,30,443.034936
-345,32,443.316769
-7465,22,443.538095
-9920,36,443.872047
-7000,14,444.007237
-5375,137,445.260453
-985,5,445.30555
-5340,43,445.708719
-7480,120,446.827651
-32375,90,447.639738
-6975,19,447.790611
-5950,22,447.965692
-500,1,447.979181
-2000,4,448.014385
-435,14,448.128766
-6210,71,448.779564
-9000,18,448.933481
-123005,388,452.130512
-495,2,452.146634
-18475,143,453.463597
-10470,27,453.711402
-7435,28,453.969866
-320,37,454.29771
-5890,34,454.588064
-44860,219,456.564695
-935,15,456.703771
-4500,9,456.777261
-5495,12,456.867075
-4500,9,456.931588
-5475,16,457.056208
-12450,35,457.325018
-940,14,457.449391
-6915,31,457.827008
-4915,27,458.066615
-13840,60,458.58383
-5295,52,459.005846
-8890,40,459.326168
-32035,158,460.67584
-9380,43,461.018335
-5000,10,461.095086
